Codigo PAIS|Nombre PAIS|Codigo DEPARTAMENTO|Nombre DEPARTAMENTO|Codigo PROVINCIA|Nombre PROVINCIA|Codigo MUNICIPIO|Nombre MUNICIPIO|Codigo RECINTO|Nombre RECINTO|Codigo MESA|Nombre MESA|NO|SÍ|BLANCOS|EMITIDOS|INSCRITOS|NULOS|VALIDOS
BO|BOLIVIA|01|CHUQUISACA|0101|OROPEZA|010101|SUCRE|0237102371|U.E. LAS AMERICAS|10798|10798|121|75|2|202|234|4|196
BO|BOLIVIA|05|POTOSI|0501|TOMÁS FRÍAS|050101|POTOSÍ|2009320093|UNIDAD EDUCATIVA JUAN PABLO II|50567|50567|165|32|2|203|235|4|197
BO|BOLIVIA|06|TARIJA|0603|GRAN CHACO|060301|YACUIBA|2896928969|U.E. MARISCAL SUCRE|61018|61018|112|79|3|197|238|3|191
BO|BOLIVIA|05|POTOSI|0508|SUR CHICHAS|050801|TUPIZA|1941519415|UNIDAD EDUCATIVA RITA ROMANO|51501|51501|75|94|6|196|232|21|169
BO|BOLIVIA|07|SANTA CRUZ|0710|OBISPO SANTISTEBAN|071001|MONTERO|2679326793|COL. FRANZ TAMAYO|76534|76534|79|118|2|204|236|5|197
BO|BOLIVIA|07|SANTA CRUZ|0704|ICHILO|070402|SAN CARLOS|2592225922|ESC. CENTRAL SAN CARLOS|75403|75403|146|44|6|199|231|3|190
BO|BOLIVIA|01|CHUQUISACA|0101|OROPEZA|010101|SUCRE|0233402334|COL. EMILIO HOSCHMAN|10761|10761|107|86|2|209|238|14|193
BO|BOLIVIA|02|LA PAZ|0201|MURILLO|020105|EL ALTO|1154911549|UNIDAD EDUCATIVA  ALTO DE LA ALIANZA|24484|24484|68|133|0|212|233|11|201
BO|BOLIVIA|02|LA PAZ|0201|MURILLO|020101|NUESTRA SEÑORA DE LA PAZ|1428814288|CANCHA DEPORTIVA|21577|21577|117|86|0|205|228|2|203
BO|BOLIVIA|06|TARIJA|0601|CERCADO|060101|TARIJA|2820828208|U.E. HERMANN GMEINER|60262|60262|91|85|4|190|229|10|176
BO|BOLIVIA|07|SANTA CRUZ|0701|ANDRÉS IBÁÑEZ|070101|SANTA CRUZ DE LA SIERRA|2116821168|ESCUELA 23 DE MARZO|70385|70385|118|77|0|202|236|7|195
BO|BOLIVIA|02|LA PAZ|0201|MURILLO|020104|ACHOCALLA|0998309983|COLEGIO 16 DE AGOSTO|22918|22918|73|132|2|209|231|2|205
BO|BOLIVIA|07|SANTA CRUZ|0701|ANDRÉS IBÁÑEZ|070101|SANTA CRUZ DE LA SIERRA|2451324513|COL. JHON KENNEDY|73730|73730|140|53|0|200|225|7|193
BO|BOLIVIA|02|LA PAZ|0201|MURILLO|020105|EL ALTO|1249012490|UNIDAD EDUCATIVA SAN ROQUE|25425|25425|77|133|4|226|237|12|210
BO|BOLIVIA|07|SANTA CRUZ|0701|ANDRÉS IBÁÑEZ|070101|SANTA CRUZ DE LA SIERRA|2240222402|COL.  PEDRO AÑEZ|71619|71619|101|93|1|201|232|6|194
BO|BOLIVIA|03|COCHABAMBA|0312|CARRASCO|031205|PUERTO VILLARROEL|0342403424|UNIDAD EDUCATIVA SAN FRANCISCO DE ASIS|34759|34759|35|164|4|207|233|4|199
BO|BOLIVIA|07|SANTA CRUZ|0701|ANDRÉS IBÁÑEZ|070104|LA GUARDIA|2066620666|ESC. JUANA AZURDUY DE PADILLA|74656|74656|101|87|0|197|235|9|188
BO|BOLIVIA|02|LA PAZ|0202|OMASUYOS|020202|ANCORAIMES|1580915809|NUCLEO ESCOLAR DE PATAPATANI|25779|25779|17|90|1|109|114|1|107
BO|BOLIVIA|03|COCHABAMBA|0301|CERCADO|030101|COCHABAMBA|0404104041|COLEGIO AMOR DE DIOS|30464|30464|134|55|3|196|228|4|189
BO|BOLIVIA|03|COCHABAMBA|0301|CERCADO|030101|COCHABAMBA|0498304983|COLEGIO MARTIN CARDENAS|31406|31406|121|89|0|216|233|6|210
BO|BOLIVIA|07|SANTA CRUZ|0701|ANDRÉS IBÁÑEZ|070101|SANTA CRUZ DE LA SIERRA|2402824028|COL. LAS AMERICAS II|73245|73245|138|55|2|197|234|2|193
BO|BOLIVIA|02|LA PAZ|0208|INGAVÍ|020801|VIACHA|0909709097|ESC. ACHICA ARRIBA|26544|26544|44|138|1|203|219|20|182
BO|BOLIVIA|02|LA PAZ|0212|LOS ANDES|021202|LAJA|0968509685|COL. PEDRO DOMINGO MURILLO|27324|27324|35|169|4|212|232|4|204
BO|BOLIVIA|06|TARIJA|0601|CERCADO|060101|TARIJA|2833928339|U.E. JUANA AZURDUY DE PADILLA|60393|60393|167|31|0|203|234|5|198
BO|BOLIVIA|02|LA PAZ|0201|MURILLO|020105|EL ALTO|1122111221|UNIDAD EDUCATIVA REPUBLICA DE FRANCIA|24156|24156|76|129|1|210|229|4|205
BO|BOLIVIA|07|SANTA CRUZ|0701|ANDRÉS IBÁÑEZ|070101|SANTA CRUZ DE LA SIERRA|2128221282|ESC LOS SAUCES I|70499|70499|154|51|1|206|234|0|205
BO|BOLIVIA|03|COCHABAMBA|0310|CHAPARE|031001|SACABA|0599305993|COLEGIO PUERTO MEJILLONES|34019|34019|139|60|1|203|231|3|199
BO|BOLIVIA|02|LA PAZ|0201|MURILLO|020101|NUESTRA SEÑORA DE LA PAZ|1517915179|COLEGIO MAX TOLEDO|22468|22468|110|98|1|212|226|3|208
BO|BOLIVIA|02|LA PAZ|0201|MURILLO|020105|EL ALTO|1023010230|ESCUELA RAFAEL PABON|23165|23165|52|131|5|212|234|24|183
BO|BOLIVIA|07|SANTA CRUZ|0701|ANDRÉS IBÁÑEZ|070101|SANTA CRUZ DE LA SIERRA|2466424664|COL. UV. LA MADRE|73881|73881|143|53|1|198|228|1|196
